conductor,insulation,method,cores,size_mm2,amps,source
Cu,PVC,A1,2,1.5,14.5,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A2,2,1.5,14,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B1,2,1.5,17.5,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B2,2,1.5,16.5,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,C,2,1.5,19.5,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D1,2,1.5,22,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D2,2,1.5,22,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A1,2,2.5,19.5,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A2,2,2.5,18.5,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B1,2,2.5,24,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B2,2,2.5,23,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,C,2,2.5,27,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D1,2,2.5,29,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D2,2,2.5,28,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A1,2,4,26,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A2,2,4,25,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B1,2,4,32,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B2,2,4,30,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,C,2,4,36,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D1,2,4,37,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D2,2,4,38,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A1,2,6,34,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A2,2,6,32,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B1,2,6,41,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
