method,circuits,factor,source
A1,1,1.00,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A1,2,0.80,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A1,3,0.70,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A1,4,0.65,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A1,5,0.60,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A1,6,0.57,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A1,7,0.54,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A1,8,0.52,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A1,9,0.50,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A1,12,0.45,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A1,16,0.41,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A1,20,0.38,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A2,1,1.00,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A2,2,0.80,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A2,3,0.70,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A2,4,0.65,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A2,5,0.60,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A2,6,0.57,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A2,7,0.54,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A2,8,0.52,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A2,9,0.50,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A2,12,0.45,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A2,16,0.41,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
A2,20,0.38,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B1,1,1.00,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B1,2,0.80,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B1,3,0.70,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B1,4,0.65,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B1,5,0.60,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B1,6,0.57,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B1,7,0.54,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B1,8,0.52,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B1,9,0.50,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
