conductor,insulation,size_mm2,r_ohm_per_km,x_ohm_per_km,source
Cu,PVC,1.5,15,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,PVC,2.5,9,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,PVC,4,5.625,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,PVC,6,3.75,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,PVC,10,2.25,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,PVC,16,1.4062,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,PVC,25,0.9,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,PVC,35,0.64286,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,PVC,50,0.45,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,PVC,70,0.32143,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,PVC,95,0.23684,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,PVC,120,0.1875,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,PVC,150,0.15,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,PVC,185,0.12162,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,PVC,240,0.09375,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,PVC,300,0.075,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,XLPE,1.5,15,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,XLPE,2.5,9,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,XLPE,4,5.625,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,XLPE,6,3.75,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,XLPE,10,2.25,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,XLPE,16,1.4062,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,XLPE,25,0.9,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,XLPE,35,0.64286,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,XLPE,50,0.45,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,XLPE,70,0.32143,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,XLPE,95,0.23684,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,XLPE,120,0.1875,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,XLPE,150,0.15,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,XLPE,185,0.12162,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,XLPE,240,0.09375,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Cu,XLPE,300,0.075,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.0225 ohm.mm2/m; X = 0.08 mohm/m"
Al,PVC,2.5,14.4,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,PVC,4,9,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,PVC,6,6,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,PVC,10,3.6,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,PVC,16,2.25,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,PVC,25,1.44,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,PVC,35,1.0286,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,PVC,50,0.72,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,PVC,70,0.51429,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,PVC,95,0.37895,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,PVC,120,0.3,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,PVC,150,0.24,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,PVC,185,0.19459,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,PVC,240,0.15,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,PVC,300,0.12,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,XLPE,2.5,14.4,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,XLPE,4,9,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,XLPE,6,6,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,XLPE,10,3.6,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,XLPE,16,2.25,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,XLPE,25,1.44,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,XLPE,35,1.0286,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,XLPE,50,0.72,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,XLPE,70,0.51429,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,XLPE,95,0.37895,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,XLPE,120,0.3,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
Al,XLPE,150,0.24,0.08,"IEC 60364-5-52:2009 Annex G method, as reproduced in IS 732:2019 Annex Y: R = rho1 / S with rho1 = 0.036 ohm.mm2/m; X = 0.08 mohm/m"
