method,resistivity_kmw,factor,source
D1,0.5,1.28,"IEC 60364-5-52:2009 Table B.52.16, cables in buried ducts, values as reproduced in IS 732:2019 Table 35; IEC table number by the consistent IS-to-IEC numbering"
D1,0.7,1.20,"IEC 60364-5-52:2009 Table B.52.16, cables in buried ducts, values as reproduced in IS 732:2019 Table 35; IEC table number by the consistent IS-to-IEC numbering"
D1,1,1.18,"IEC 60364-5-52:2009 Table B.52.16, cables in buried ducts, values as reproduced in IS 732:2019 Table 35; IEC table number by the consistent IS-to-IEC numbering"
D1,1.5,1.10,"IEC 60364-5-52:2009 Table B.52.16, cables in buried ducts, values as reproduced in IS 732:2019 Table 35; IEC table number by the consistent IS-to-IEC numbering"
D1,2,1.05,"IEC 60364-5-52:2009 Table B.52.16, cables in buried ducts, values as reproduced in IS 732:2019 Table 35; IEC table number by the consistent IS-to-IEC numbering"
D1,2.5,1.00,"IEC 60364-5-52:2009 Table B.52.16, cables in buried ducts, values as reproduced in IS 732:2019 Table 35; IEC table number by the consistent IS-to-IEC numbering"
D1,3,0.96,"IEC 60364-5-52:2009 Table B.52.16, cables in buried ducts, values as reproduced in IS 732:2019 Table 35; IEC table number by the consistent IS-to-IEC numbering"
D2,0.5,1.88,"IEC 60364-5-52:2009 Table B.52.16, direct buried cables, values as reproduced in IS 732:2019 Table 35; IEC table number by the consistent IS-to-IEC numbering"
D2,0.7,1.62,"IEC 60364-5-52:2009 Table B.52.16, direct buried cables, values as reproduced in IS 732:2019 Table 35; IEC table number by the consistent IS-to-IEC numbering"
D2,1,1.50,"IEC 60364-5-52:2009 Table B.52.16, direct buried cables, values as reproduced in IS 732:2019 Table 35; IEC table number by the consistent IS-to-IEC numbering"
D2,1.5,1.28,"IEC 60364-5-52:2009 Table B.52.16, direct buried cables, values as reproduced in IS 732:2019 Table 35; IEC table number by the consistent IS-to-IEC numbering"
D2,2,1.12,"IEC 60364-5-52:2009 Table B.52.16, direct buried cables, values as reproduced in IS 732:2019 Table 35; IEC table number by the consistent IS-to-IEC numbering"
D2,2.5,1.00,"IEC 60364-5-52:2009 Table B.52.16, direct buried cables, values as reproduced in IS 732:2019 Table 35; IEC table number by the consistent IS-to-IEC numbering"
D2,3,0.90,"IEC 60364-5-52:2009 Table B.52.16, direct buried cables, values as reproduced in IS 732:2019 Table 35; IEC table number by the consistent IS-to-IEC numbering"
