insulation,medium,ambient_c,factor,source
PVC,air,10,1.22,"IEC 60364-5-52:2009 Table B.52.14, PVC, air temperature, values as reproduced in IS 732:2019 Table 33"
PVC,air,15,1.17,"IEC 60364-5-52:2009 Table B.52.14, PVC, air temperature, values as reproduced in IS 732:2019 Table 33"
PVC,air,20,1.12,"IEC 60364-5-52:2009 Table B.52.14, PVC, air temperature, values as reproduced in IS 732:2019 Table 33"
PVC,air,25,1.06,"IEC 60364-5-52:2009 Table B.52.14, PVC, air temperature, values as reproduced in IS 732:2019 Table 33"
PVC,air,30,1.00,"IEC 60364-5-52:2009 Table B.52.14, PVC, air temperature, values as reproduced in IS 732:2019 Table 33"
PVC,air,35,0.94,"IEC 60364-5-52:2009 Table B.52.14, PVC, air temperature, values as reproduced in IS 732:2019 Table 33"
PVC,air,40,0.87,"IEC 60364-5-52:2009 Table B.52.14, PVC, air temperature, values as reproduced in IS 732:2019 Table 33"
PVC,air,45,0.79,"IEC 60364-5-52:2009 Table B.52.14, PVC, air temperature, values as reproduced in IS 732:2019 Table 33"
PVC,air,50,0.71,"IEC 60364-5-52:2009 Table B.52.14, PVC, air temperature, values as reproduced in IS 732:2019 Table 33"
PVC,air,55,0.61,"IEC 60364-5-52:2009 Table B.52.14, PVC, air temperature, values as reproduced in IS 732:2019 Table 33"
PVC,air,60,0.50,"IEC 60364-5-52:2009 Table B.52.14, PVC, air temperature, values as reproduced in IS 732:2019 Table 33"
XLPE,air,10,1.15,"IEC 60364-5-52:2009 Table B.52.14, XLPE, air temperature, values as reproduced in IS 732:2019 Table 33"
XLPE,air,15,1.12,"IEC 60364-5-52:2009 Table B.52.14, XLPE, air temperature, values as reproduced in IS 732:2019 Table 33"
XLPE,air,20,1.08,"IEC 60364-5-52:2009 Table B.52.14, XLPE, air temperature, values as reproduced in IS 732:2019 Table 33"
XLPE,air,25,1.04,"IEC 60364-5-52:2009 Table B.52.14, XLPE, air temperature, values as reproduced in IS 732:2019 Table 33"
XLPE,air,30,1.00,"IEC 60364-5-52:2009 Table B.52.14, XLPE, air temperature, values as reproduced in IS 732:2019 Table 33"
XLPE,air,35,0.96,"IEC 60364-5-52:2009 Table B.52.14, XLPE, air temperature, values as reproduced in IS 732:2019 Table 33"
XLPE,air,40,0.91,"IEC 60364-5-52:2009 Table B.52.14, XLPE, air temperature, values as reproduced in IS 732:2019 Table 33"
XLPE,air,45,0.87,"IEC 60364-5-52:2009 Table B.52.14, XLPE, air temperature, values as reproduced in IS 732:2019 Table 33"
XLPE,air,50,0.82,"IEC 60364-5-52:2009 Table B.52.14, XLPE, air temperature, values as reproduced in IS 732:2019 Table 33"
XLPE,air,55,0.76,"IEC 60364-5-52:2009 Table B.52.14, XLPE, air temperature, values as reproduced in IS 732:2019 Table 33"
XLPE,air,60,0.71,"IEC 60364-5-52:2009 Table B.52.14, XLPE, air temperature, values as reproduced in IS 732:2019 Table 33"
