conductor,insulation,method,cores,size_mm2,amps,source
Cu,PVC,A1,2,1.5,14.5,"IS 732:2019 Table 21, method A1"
Cu,PVC,A2,2,1.5,14,"IS 732:2019 Table 21, method A2"
Cu,PVC,B1,2,1.5,17.5,"IS 732:2019 Table 21, method B1"
Cu,PVC,B2,2,1.5,16.5,"IS 732:2019 Table 21, method B2"
Cu,PVC,C,2,1.5,19.5,"IS 732:2019 Table 21, method C"
Cu,PVC,D1,2,1.5,22,"IS 732:2019 Table 21, method D1"
Cu,PVC,D2,2,1.5,22,"IS 732:2019 Table 21, method D2"
Cu,PVC,A1,2,2.5,19.5,"IS 732:2019 Table 21, method A1"
Cu,PVC,A2,2,2.5,18.5,"IS 732:2019 Table 21, method A2"
Cu,PVC,B1,2,2.5,24,"IS 732:2019 Table 21, method B1"
Cu,PVC,B2,2,2.5,23,"IS 732:2019 Table 21, method B2"
Cu,PVC,C,2,2.5,27,"IS 732:2019 Table 21, method C"
Cu,PVC,D1,2,2.5,29,"IS 732:2019 Table 21, method D1"
Cu,PVC,D2,2,2.5,28,"IS 732:2019 Table 21, method D2"
Cu,PVC,A1,2,4,26,"IS 732:2019 Table 21, method A1"
Cu,PVC,A2,2,4,25,"IS 732:2019 Table 21, method A2"
Cu,PVC,B1,2,4,32,"IS 732:2019 Table 21, method B1"
Cu,PVC,B2,2,4,30,"IS 732:2019 Table 21, method B2"
Cu,PVC,C,2,4,36,"IS 732:2019 Table 21, method C"
Cu,PVC,D1,2,4,37,"IS 732:2019 Table 21, method D1"
Cu,PVC,D2,2,4,38,"IS 732:2019 Table 21, method D2"
Cu,PVC,A1,2,6,34,"IS 732:2019 Table 21, method A1"
Cu,PVC,A2,2,6,32,"IS 732:2019 Table 21, method A2"
Cu,PVC,B1,2,6,41,"IS 732:2019 Table 21, method B1"
Cu,PVC,B2,2,6,38,"IS 732:2019 Table 21, method B2"
Cu,PVC,C,2,6,46,"IS 732:2019 Table 21, method C"
Cu,PVC,D1,2,6,46,"IS 732:2019 Table 21, method D1"
Cu,PVC,D2,2,6,48,"IS 732:2019 Table 21, method D2"
Cu,PVC,A1,2,10,46,"IS 732:2019 Table 21, method A1"
Cu,PVC,A2,2,10,43,"IS 732:2019 Table 21, method A2"
Cu,PVC,B1,2,10,57,"IS 732:2019 Table 21, method B1"
Cu,PVC,B2,2,10,52,"IS 732:2019 Table 21, method B2"
Cu,PVC,C,2,10,63,"IS 732:2019 Table 21, method C"
