method,circuits,factor,source
A1,1,1.00,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A1,2,0.80,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A1,3,0.70,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A1,4,0.65,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A1,5,0.60,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A1,6,0.57,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A1,7,0.54,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A1,8,0.52,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A1,9,0.50,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A1,12,0.45,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A1,16,0.41,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A1,20,0.38,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A2,1,1.00,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A2,2,0.80,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A2,3,0.70,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A2,4,0.65,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A2,5,0.60,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A2,6,0.57,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A2,7,0.54,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A2,8,0.52,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A2,9,0.50,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A2,12,0.45,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A2,16,0.41,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
A2,20,0.38,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B1,1,1.00,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B1,2,0.80,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B1,3,0.70,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B1,4,0.65,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B1,5,0.60,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B1,6,0.57,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B1,7,0.54,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B1,8,0.52,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B1,9,0.50,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B1,12,0.45,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B1,16,0.41,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B1,20,0.38,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B2,1,1.00,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B2,2,0.80,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B2,3,0.70,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B2,4,0.65,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B2,5,0.60,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B2,6,0.57,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B2,7,0.54,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B2,8,0.52,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B2,9,0.50,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B2,12,0.45,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B2,16,0.41,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
B2,20,0.38,"IS 732:2019 Table 36, item 1, bunched in air, on a surface, embedded or enclosed"
C,1,1.00,"IS 732:2019 Table 36, item 2, single layer on wall, floor or unperforated tray"
C,2,0.85,"IS 732:2019 Table 36, item 2, single layer on wall, floor or unperforated tray"
C,3,0.79,"IS 732:2019 Table 36, item 2, single layer on wall, floor or unperforated tray"
C,4,0.75,"IS 732:2019 Table 36, item 2, single layer on wall, floor or unperforated tray"
