method,resistivity_kmw,factor,source
D1,0.5,1.28,"IS 732:2019 Table 35, cables in buried ducts"
D1,0.7,1.20,"IS 732:2019 Table 35, cables in buried ducts"
D1,1,1.18,"IS 732:2019 Table 35, cables in buried ducts"
D1,1.5,1.10,"IS 732:2019 Table 35, cables in buried ducts"
D1,2,1.05,"IS 732:2019 Table 35, cables in buried ducts"
D1,2.5,1.00,"IS 732:2019 Table 35, cables in buried ducts"
D1,3,0.96,"IS 732:2019 Table 35, cables in buried ducts"
D2,0.5,1.88,"IS 732:2019 Table 35, direct buried cables"
D2,0.7,1.62,"IS 732:2019 Table 35, direct buried cables"
D2,1,1.50,"IS 732:2019 Table 35, direct buried cables"
D2,1.5,1.28,"IS 732:2019 Table 35, direct buried cables"
D2,2,1.12,"IS 732:2019 Table 35, direct buried cables"
D2,2.5,1.00,"IS 732:2019 Table 35, direct buried cables"
D2,3,0.90,"IS 732:2019 Table 35, direct buried cables"
