insulation,medium,ambient_c,factor,source
PVC,air,10,1.22,"IS 732:2019 Table 33, PVC, air temperature"
PVC,air,15,1.17,"IS 732:2019 Table 33, PVC, air temperature"
PVC,air,20,1.12,"IS 732:2019 Table 33, PVC, air temperature"
PVC,air,25,1.06,"IS 732:2019 Table 33, PVC, air temperature"
PVC,air,30,1.00,"IS 732:2019 Table 33, PVC, air temperature"
PVC,air,35,0.94,"IS 732:2019 Table 33, PVC, air temperature"
PVC,air,40,0.87,"IS 732:2019 Table 33, PVC, air temperature"
PVC,air,45,0.79,"IS 732:2019 Table 33, PVC, air temperature"
PVC,air,50,0.71,"IS 732:2019 Table 33, PVC, air temperature"
PVC,air,55,0.61,"IS 732:2019 Table 33, PVC, air temperature"
PVC,air,60,0.50,"IS 732:2019 Table 33, PVC, air temperature"
XLPE,air,10,1.15,"IS 732:2019 Table 33, XLPE, air temperature"
XLPE,air,15,1.12,"IS 732:2019 Table 33, XLPE, air temperature"
XLPE,air,20,1.08,"IS 732:2019 Table 33, XLPE, air temperature"
XLPE,air,25,1.04,"IS 732:2019 Table 33, XLPE, air temperature"
XLPE,air,30,1.00,"IS 732:2019 Table 33, XLPE, air temperature"
XLPE,air,35,0.96,"IS 732:2019 Table 33, XLPE, air temperature"
XLPE,air,40,0.91,"IS 732:2019 Table 33, XLPE, air temperature"
XLPE,air,45,0.87,"IS 732:2019 Table 33, XLPE, air temperature"
XLPE,air,50,0.82,"IS 732:2019 Table 33, XLPE, air temperature"
XLPE,air,55,0.76,"IS 732:2019 Table 33, XLPE, air temperature"
XLPE,air,60,0.71,"IS 732:2019 Table 33, XLPE, air temperature"
XLPE,air,65,0.65,"IS 732:2019 Table 33, XLPE, air temperature"
XLPE,air,70,0.58,"IS 732:2019 Table 33, XLPE, air temperature"
XLPE,air,75,0.50,"IS 732:2019 Table 33, XLPE, air temperature"
XLPE,air,80,0.41,"IS 732:2019 Table 33, XLPE, air temperature"
PVC,ground,10,1.10,"IS 732:2019 Table 34, PVC, ground temperature"
PVC,ground,15,1.05,"IS 732:2019 Table 34, PVC, ground temperature"
PVC,ground,20,1.00,"IS 732:2019 Table 34, PVC, ground temperature"
PVC,ground,25,0.95,"IS 732:2019 Table 34, PVC, ground temperature"
PVC,ground,30,0.89,"IS 732:2019 Table 34, PVC, ground temperature"
PVC,ground,35,0.84,"IS 732:2019 Table 34, PVC, ground temperature"
PVC,ground,40,0.77,"IS 732:2019 Table 34, PVC, ground temperature"
PVC,ground,45,0.71,"IS 732:2019 Table 34, PVC, ground temperature"
PVC,ground,50,0.63,"IS 732:2019 Table 34, PVC, ground temperature"
PVC,ground,55,0.55,"IS 732:2019 Table 34, PVC, ground temperature"
PVC,ground,60,0.45,"IS 732:2019 Table 34, PVC, ground temperature"
XLPE,ground,10,1.07,"IS 732:2019 Table 34, XLPE, ground temperature"
XLPE,ground,15,1.04,"IS 732:2019 Table 34, XLPE, ground temperature"
XLPE,ground,20,1.00,"IS 732:2019 Table 34, XLPE, ground temperature"
XLPE,ground,25,0.96,"IS 732:2019 Table 34, XLPE, ground temperature"
XLPE,ground,30,0.93,"IS 732:2019 Table 34, XLPE, ground temperature"
XLPE,ground,35,0.89,"IS 732:2019 Table 34, XLPE, ground temperature"
XLPE,ground,40,0.85,"IS 732:2019 Table 34, XLPE, ground temperature"
XLPE,ground,45,0.80,"IS 732:2019 Table 34, XLPE, ground temperature"
XLPE,ground,50,0.76,"IS 732:2019 Table 34, XLPE, ground temperature"
XLPE,ground,55,0.71,"IS 732:2019 Table 34, XLPE, ground temperature"
XLPE,ground,60,0.65,"IS 732:2019 Table 34, XLPE, ground temperature"
XLPE,ground,65,0.60,"IS 732:2019 Table 34, XLPE, ground temperature"
XLPE,ground,70,0.53,"IS 732:2019 Table 34, XLPE, ground temperature"
XLPE,ground,75,0.46,"IS 732:2019 Table 34, XLPE, ground temperature"
XLPE,ground,80,0.38,"IS 732:2019 Table 34, XLPE, ground temperature"
